sha256	bytes	path
da910fb5293a99d1f6e11ecfbbbcd7f253938a03f0f8f898515e023ffc081508	76	.gitignore
14956eb00d8fb3af9fb4ce5e3c006b0d560f7b9f5dbfdcc9ca00331a0799f445	1200	CITATION.cff
270cf867eaffc48a48379587e697f17eb17654974995c087e5f5e3f4f894909e	589	DATA_LICENSE.txt
9fc9dcda4c5e02388f453d9271fb174ce6b949332cedf561a0110371a3555a6b	1086	LICENSE
ed5a3673d86076996554c70169d62195946a285c8dd2c2d155ab676b9965a3d3	3351	README.md
70d513f162782dee4d50245331b9c35668eab053060c9971ccaf6689bdac6d51	1847	REPOSITORY_METADATA.md
07cc4875a73c28d5ff53a1155456a1319b41026ec90d3659f2b7b368a051b2e0	8812	code/analysis/01_prepare_gse151179.py
0af5fcbe2c75839b91839dcd7b65cfc8a8ccdb698c89f7fc66128816040d49a7	7539	code/analysis/02_score_locked_tds.R
6e4178bec0a0d073acc09e2aa4b345be3169dcf9d9cab13a70ae3c03bbd6680a	1533	code/analysis/03_audit_primary_cohort_confounders.R
098ee001e7920cd19b98a4a63ddfdf7aa5f3c30885ffd1586c415bee1c5b05f7	13907	code/analysis/04_score_frozen_benchmark.R
95e77ba4612d3134aede844603ed574673cdbecd87aeb6f62b8aa7fb17d4ed94	5142	code/analysis/05_prepare_gse299988.py
d235ba1383fff867f8b8b4301e0b294061229ff5c496454403d764777ce6d802	13494	code/analysis/06_gse299988_confounded_challenge.R
eccd9bf0a6b5eb6a085d4c925ba320a7326e4bdbf38ef2b378f741183589c335	16438	code/analysis/07_program_redundancy_parallel_analysis.R
af9b4665f9ca4c629a1c8e4afca530458d82a3746abcc2f95e4e070afa1f22da	23626	code/analysis/08_covariance_null_generator.R
808df5727b6437f84c531b3eee7f11c6f30332f1df62409dcd1ced8ff2f052da	9947	code/analysis/08_freeze_pubmed_search.py
b450d4c20cfb2abcfd0a0d457cb782ed3434af63a9db98ab3a790de166f68ed7	7765	code/analysis/09_freeze_supplementary_searches.py
fa07969d65f5c65fe4f0fc6ba3e8073e4349855cbb118146d33532c699eb4a6b	9197	code/analysis/09_validate_covariance_null.R
1b60d92f26fa10c465c021d4b1ef612b7aecc8674c94ebbb1769cafc2fc51aa9	3016	code/analysis/10_build_all9_program_registry.R
55e02a4d93865b776210ffe38ce6caace75e6c04726ac607f70fcf13db59a2a0	2471	code/analysis/10_fetch_candidate_pmc_xml.py
6318298bc5d29bb43279680a5d6f1f93b414d6b52abaa8e80ce447f334fa9049	23964	code/analysis/11_covariance_null_generator_general.R
92914163d2f72d57a7805233d7ed37d0579565a11cbd8f08d269cd86608c21b1	2220	code/analysis/11_extract_pmc_audit_text.py
3618276c9e62f63a4fb3da232592bb3c02a5861b40838179745221f7f1143791	8390	code/analysis/12_finalize_literature_freeze.py
34373ecf94866c402ab79d10848d245e8ad3454c7337b886b58a3310ad2275c3	9034	code/analysis/12_validate_covariance_null_general.R
4c38da1e08c7fcaaad1cb76d88107c7e660f1a5586eadb758685771c4b54f0ba	2352	code/analysis/13_build_verified_literature_bib.py
ed3bf0bdd0dfa3191044b1c6f3cb4a999bc4253cdd25a9f4415b50f835cad3b5	1991	code/analysis/13_run_covariance_null_sequence_005.sh
069b69f7d2092df256b2532c27b7d96a16cb205e055df347b314fb181e68ad1a	6519	code/analysis/14_freeze_covariance_null_master_manifest.R
4bb379af220b3037ea4b9ef71cab24a6c28a627dd61bf882d5b53561b1c3e89e	1653	code/analysis/14_hash_literature_freeze.py
cd1bd25b40b04a0962156cc9566f9adca53d71ee1738f918bed1fca67c684796	16203	code/analysis/15_clinical_label_layer_exact_permutation.R
69abb42368f6af286548ed25870f3ad96bd1efd17126501d6a41579190734689	7917	code/analysis/16_validate_clinical_label_layer.R
cdbb2a7e624d66666ad46db84c0cc9e534cce493ec50ee9f4ed4951d9d4bdff8	20742	code/analysis/17_build_figure3_two_null_nature.R
15e2e83a13725b0032914b05aa0cdf2aa41aa7d001631c8f9603b938636705bb	9269	code/analysis/20_prepare_gse299988_covnull.py
7eaf063c9368605f17ba0186c3663862084ebf182f879b1c0fa73a66eeaedcb4	2114	code/analysis/21_derive_gse299988_covnull_generator.R
136da333b4800118c6a19ed4caceacafb56571ef2f743ea6a48189811c025d52	1961	code/analysis/22_run_gse299988_covnull_sequence_005.sh
1e77beabc47233b825ca0c81e7c937e37eea340e1a56e80f0c40723708023544	7178	code/analysis/23_freeze_gse299988_covnull_master.R
4b4e9b083373d377764c0e8048ae36c7182288d46afabf871a87788adc70d524	12705	code/analysis/24_score_gse299988_two_null_layer.R
c677b02a25688a06bb20f99ba182f1a068184dd1187e04bff1492cdfd9e6c7d8	5460	code/analysis/25_validate_gse299988_two_null_layer.R
2e1bf0e507a2c9406a1f454a83cb4ffac0458350feb59778fb979c7e191c7897	11887	code/analysis/26_build_figure4_two_null_nature.R
2b672e3ebe36ab7a0d968fc9724a4e36b0731c8ee54e6aa77fae930e0a235def	11363	code/analysis/27_build_figure6_two_null_passport_nature.R
3e2b993f6aee8d926ca462c8908d443addf83ad598380ecb06b8663c6c9863c7	18213	code/analysis/28_pre_submission_numeric_audit.py
0b94717e5b1af70ae611db64a708ebc1715e464a25e75bdda56d0f4ce386cf97	3917	code/analysis/29_freeze_vancouver_citation_map.py
2adf211842b46f26a755cccb68b5bab91e147e36b23c8402f8b23ca476ffe723	4872	code/analysis/30_method_review_evidence.py
d07f1a9ec2a35f2ab27baa98fc3a47538d05b7d4c085b655546d1f76050e8ade	10573	code/analysis/build_figure4_nature.R
951163105fe3fe404d4362ba4ee856021927a1a8842f471dfb36abb72e766766	11078	code/analysis/build_figure6_nature.R
cdbb2a7e624d66666ad46db84c0cc9e534cce493ec50ee9f4ed4951d9d4bdff8	20742	code/figures/17_build_figure3_two_null_nature.R
11cbd6133b9db1752cedcf5936bf41caede4492c8a2c9c442158f6a1e1fb728b	12390	code/figures/26_build_figure4_two_null_nature_v3.R
2b672e3ebe36ab7a0d968fc9724a4e36b0731c8ee54e6aa77fae930e0a235def	11363	code/figures/27_build_figure6_two_null_passport_nature.R
9cc941798f84f1325e424f319d2b30cdb6c3e970a90f9e4668832a10410c67a4	12185	code/figures/34_build_figureS6_annotation_sensitivity.R
6ebe80461849bda5bc355f2e7034693c2e10e5d51647bf90d6eefa71ef2bb4cc	24717	code/figures/build_figure1_nature.R
dd8637c402985072c0dab37c7632c68bf3e853920ad6a5335dfd5baf916d7334	26893	code/figures/build_figure2_nature.R
6565998a50695bd1a6ad167e57540be2ccf7f328674a2fd84bb2ee3982251808	19171	code/figures/build_figure5.R
709ce556336a03be531f62a311177cf2549fb801dc024b9a6b0d1d95c6f56918	1629	code/single_cell/00_inspect_gse184362_assets.R
df11419cb864a0ec3a9ca69000a7f637b3de2f724b47dc2adb07eec3f8f8c0ba	3001	code/single_cell/01_option_a_preflight.R
2621feb02fd4a4d60bbcbea8553ef7864771e83f54c730dc5f647a2269b63ab7	9046	code/single_cell/02_author_qc_doublets.R
03e47297dca3778bf898224df559c1f4683fe8ac2ed14a1b1a2ada36469f03e6	10288	code/single_cell/03_fastmnn_author_compartments.R
c59c0741187d94b0cf89b0fbdc26d496953f6f17fd7cf2177527a4aa5558b6f8	11497	code/single_cell/04_pseudobulk_lodo_programs.R
a2e2e992cb8d67bc47a0486ea398857b95dc92a3e6345fc1ff4f918a38cece8c	1562	code/single_cell/05_download_independent_atlases.sh
bba86be0fc0d3a89b03475375f84503d5d5e8253c098986842302a5b513d68a4	10272	code/single_cell/06_prepare_independent_atlases.R
17cec0289a4fe2199c28c83adec7a3480b3aaec3331f06af88b909f85843fe43	9416	code/single_cell/07_cross_atlas_and_gate.R
f67540500592efa63621ecb3f94f70eea239d073372bef966dfd5bc003a38fda	988	code/single_cell/option_a_stage03_watcher.sh
0c25917f1faf4458b902dd655be3411fde3d55af9e1ee247889ecdb991202005	1064	code/single_cell/option_a_stage04_watcher.sh
bd55f118c6dc7319ec9e924fb8cc3664b04878ca3a758b9e005cae62c3113b14	979	code/single_cell/option_a_stage07_watcher.sh
4525feb41b2cffe0310b8a2e1ca7c641992c04df07f5f038de03f3c4131e41e9	621	config/GSE299988_challenge_labels_frozen.tsv
55186ffae4904c5605734ba3d438222c7c487977b1c74227cf7a9af00c934625	3983	config/frozen_signatures.tsv
c0a5732396ee47736a574899ee3791949274bf9df3da2783c2a49876372c5b67	1037	config/single_cell_execution_contract.tsv
a9cd49396f19ab58c5b1035aebf1c5f46350e7dc04f6c9afb4cd39b0236e70dd	1545	data/SOURCE_DATA_MANIFEST.md
2b83539ed28bdb9aafbaea7116d42cd2196e3282e08fbadf32d1db67f61090b7	740	data/derived_tables/GSE151179_TDS_contrasts.tsv
7f75cba626e49440f429881ff43a8610794ba52c3469c631dcb465cbe6f663cd	3324	data/derived_tables/GSE151179_TDS_gene_components.tsv
dcaf4c7f41c0840b81207003be945505345922fe791a16e0c2590f4f5ea94db9	4408	data/derived_tables/GSE151179_TDS_sample_scores.tsv
fba8838fa393b0c699956754f84cf1bf3b3058cd70e98365dc780cf3e58d6cb4	1187	data/derived_tables/GSE151179_primary_confounder_balance.tsv
3b56d77ccab4513b95e759405ba8363b72157fdfc69477b5f6c8cef9d0cabe4b	43	data/derived_tables/GSE299988_RAI_LN_contingency.tsv
cef40cfed66ee786fb5d77bc0e8478aaf30b91e0d0dbb1c24bb1adf149b6e82c	104	data/derived_tables/GSE299988_RAI_LN_identifiability.tsv
6b8006b7e399fe415bf3ba69bd48d3a38f9e0c821d40850516e9442c3beb1b31	4683	data/derived_tables/GSE299988_confounded_challenge.tsv
0a3f5d1971531a4cd3228f59ba4f935f7dbc0a002ca0be2a65fe3a927a21d875	3917	data/derived_tables/GSE299988_confounded_challenge_LOPO.tsv
a6588696a0115ecb37c8651b072d9ae25ad086f2dd15d84a8746d057f5dbdb91	109847	data/derived_tables/GSE299988_confounded_challenge_nulls.tsv.gz
e3c9edd232586cc920b492ccf6051809852fb6908d7e4776ac328f5e4b8316b5	6339	data/derived_tables/GSE299988_confounded_challenge_scores.tsv
2ec1c5d2f2a9bb9ae278c4a89c24eee079d77e2b6989a0b6105aa74075a319c3	4067	data/derived_tables/LOPO_forest_summary.tsv
a3121eea4d02b56dbfa2295e7f925c54a49ae47e077fd5f5c99f1cdc08fe835c	826	data/derived_tables/condello_correlation_neighborhood_shift.tsv
03a808d7945b92f390fa0f6007fe5ced4cbe35fcb9f813194f9ff05d6fe8b27c	28421	data/derived_tables/frozen_signature_LOPO_estimates.tsv
1dea7a1639ecc652578f7c97ef92433de78bfcdc4a2a016d24df690cd078548b	7525	data/derived_tables/frozen_signature_endpoint_alignment.tsv
47376caac1b1877645dca2efa5052f4dcc4f4034198324c0717177fff4cc66d5	22286	data/derived_tables/frozen_signature_sample_scores.tsv
0383937870b876f172779e5863b6d800dd93607fbbc6fa4239854fa003f26e66	1926	data/derived_tables/generic_dimension_loadings.tsv
54de1864c1ca192b7ce7684e607d4286035a0ebc69083b4643ad77a0dcc8dff4	62429	data/derived_tables/generic_subspace_bootstrap_iterations.tsv.gz
1edad82ed402ba4980e0aeb23ebb073388c7d85b76f95483cfe7fc9e49705c72	361	data/derived_tables/generic_subspace_bootstrap_summary.tsv
657c5f23c6f3329bcbe5fb954b5d84685fb6a0d15e23252f2ac09683d69750e2	232495	data/derived_tables/matched_random_program_nulls.tsv.gz
aa60add7358d1c16cb2cbf22dd9b23903f929e85a41108a448f724fa4899ca57	1861	data/derived_tables/matched_random_program_summary.tsv
c48e1b0ccc7d84c9c97518b20f7b9d8a3547c30cdc17afd9a74ee0d0a6e97db7	8218	data/derived_tables/program_pair_correlations_bootstrap.tsv
b9f137c8dfc323f5fa0c7be8d271d72b81049ca80640a64ba2a6639686317805	2316	data/derived_tables/program_parallel_analysis.tsv
bc4b7e3a121687f5e0f36b0a341376851d9448f91599792ebbd8353b5de13846	1461	data/derived_tables/residual_specificity_sensitivity.tsv
ca58085c032d8421e0eb26071e79ef176fe3071d83c1c801cbf9e1898c05604f	535	data/source_data/Figure1/09_figure1_construct_edges_source.tsv
b93140db391413dbd9f319911ae45afc4422cd2e5d9f08da044b2fa46c0df528	927	data/source_data/Figure1/09_figure1_funnel_source.tsv
c65cf26f0e9d283c24ad5ace515c85c7a1475da8611185d6c3094b9810f2eddb	494	data/source_data/Figure1/09_figure1_search_flow_source.tsv
0d75041ab24a28be75285c1d6eb4050b0e92c997eddcb6520a040db97f337464	5253	data/source_data/Figure2/10_figure2_bootstrap_hedges_g.tsv
9964e5b3422bc5c43945dbf576953f28929c6ead355909fe91d300bfce80d854	165	data/source_data/Figure2/10_figure2_group_counts.tsv
5600feadc0b4f7e4d06da980e548c0a789716551dc6a56e4527274327b44aa93	25626	data/source_data/Figure2/10_figure2_patient_program_scores.tsv
69a7ddb37c9fd4884314b51f2992a882ecd270474583ffa72d2837b4566fdc26	3330	data/source_data/Figure2/10_figure2_two_axis_source.tsv
276b59ab831cacca7a2b0e205b53da71f71d62158281086b4bc0a6cd58a82574	5393	data/source_data/Figure3/11_figure3_matched_random_summary.tsv
22be7604a1cb1677e6484752c19cf46640f4843b1abdbb31e3f00a33d4dcb882	6453	data/source_data/Figure3/Figure3_all18_results.two_null.tsv
e1e80f441cc06e5eea1c4f4603481eb680a1fb2c34fd0f4f30851251a876d929	5019	data/source_data/Figure3/Figure3_panel_a_lopo_source.tsv
8b58bf9cb84125f1a60bc85934926d8b819fe0c127503b76bf1f9d69c3c03166	7883	data/source_data/Figure3/Figure3_panel_b_two_null_bh_source.tsv
d96b1a317fae7ba9be61863cb692dc0bd811b7bd87c23bf69b2c0f98d041ea65	107	data/source_data/Figure4/Figure4_panel_a_contingency_source.tsv
45d6627caa4d30b5df868ba2d5ae7997a2674c003c4678e62fc600922bac935d	2090	data/source_data/Figure4/Figure4_panel_b_effects_source.tsv
d0315022bbd0f3858f96921bc5fecb30c22be9c572d99533fc9fc607bf63ccc7	1902	data/source_data/Figure4/Figure4_panel_c_two_null_q_source.tsv
5b3da0a1e989dd5447e77a40f3ac799410feb93644717d164c64fbb0526ed7ff	804	data/source_data/Figure4/Figure4_panel_d_shift_source.tsv
ee97097a9af5c9853c6fe605e1cf12e895f37ae06f106b524a3534010495699a	1428	data/source_data/Figure5/07_three_atlas_AND_gate.tsv
865d1a8a33bbaa4799313eb12270fa92faa5672521c9c2ce3adf5c94e1b9b17c	3611	data/source_data/Figure5/08_three_atlas_bootstrap_effects.tsv
c38034ce966ff44269ab48acc4a56bf413c5ca41c98e37c282851ad1b4506475	507	data/source_data/Figure6/12_figure6_claim_boundary_source.tsv
a96ecaeac22cca5e8591c0321044452f4ed9f31e4b267703b5d082c2ad074284	1954	data/source_data/Figure6/12_figure6_passport_matrix_source.tsv
72bc1dc7467ac8f708c7af762bde24e2d98ecca3384765ba95723ebc4a3c5875	2014	data/source_data/Figure6/12_figure6_program_passport_source.tsv
ee97097a9af5c9853c6fe605e1cf12e895f37ae06f106b524a3534010495699a	1428	data/source_data/Supplementary/FigureS5_AND_gate.tsv
72aea328231b789c4bf07aa84e3009525540cb0e240a5735e05f426866d554dc	5066	data/source_data/Supplementary/FigureS6_panel_a_effects_source.tsv
8983e736ad313ba32cd6d071b87fa3a91416c2f38da835e6cc1a8fadc5255eb1	959	data/source_data/Supplementary/FigureS6_panel_b_gate_source.tsv
7046890ad2c6fef713d0db4c2110fd1873cc116928ae28226bb3c28b2ca04827	2993	data/source_data/Supplementary/FigureS6_panel_c_GSE191288_donor_source.tsv
8b6be5afdeed922e92155c3aa094a8e6adf09bda7dc555b9a5fe929e9d91dc4a	18357	literature_audit/geo_search_records.tsv
3e03a3eee8679494cb137fe29d6c27d59fa69fd3ca5dbda2588177210dded8c7	656	literature_audit/literature_flow_counts.json
5c083d30af3f00c0b95298b7b11391c30d7e3826eb60e365884f082a5a0ceace	9162	literature_audit/literature_tool_audit.tsv
aaed691e2e875faf6d6398f28768ac4141ea9806f636c39dceeade15aa675e09	226071	literature_audit/master_screening.tsv
6a2d8a372f2d67f944260d53313991d18f4402be4af7fae9fd26dddad1cefc58	1233	literature_audit/pubmed_query.txt
49cc6cc0e4241307c37620c9d344a6f4852ab2ad81dc94a2702915a9e7e6971e	172749	literature_audit/pubmed_screening.tsv
ee35844997fe1101de055e22595559ef8ca6898f5722bd95348ae1e8b9184a5b	12932	literature_audit/pubmed_search_metadata.json
92c085a946499e8291ebeb23971f289823075da899b408564b63088250772709	1245	literature_audit/supplementary_search_metadata.json
59556458ca58ff7c4bdf952b581c63ba6ab31c89434c36ca7a3c2bd3c4d05b15	8309	qc/FROZEN_SHA256_method_review_v3.tsv
2500637a8b1b17beedf566ff4c0514f2c379e8c3965d5a31a5fc7703ea63c562	325	qc/NUMERIC_AUDIT_REPORT_v4.md
8f531d409aac25c5877ac27ff990ede2ad5604a90f678c079b7f4ef0eaa21197	4418	qc/VANCOUVER_NUMBER_MAP.tsv
38cc6f79e3febe1107ac4a332800ad5c222a6a8f3cbea4719d16d0a138a2c895	322	software_versions.tsv
