sample	signature_id	score	group
APTC1	TDS_16	0.130894109826191	RAI_avid_LN_negative
APTC2	TDS_16	0.366749907926643	RAI_avid_LN_negative
APTC3	TDS_16	-0.848635753085141	RAI_avid_LN_negative
APTC4	TDS_16	-0.0180823140190217	RAI_avid_LN_negative
APTC5	TDS_16	-0.728675220516932	RAI_avid_LN_negative
NaPTC1	TDS_16	0.169473054839737	RAI_nonavid_LN_positive
NaPTC2	TDS_16	0.0648337803214252	RAI_nonavid_LN_positive
NaPTC3	TDS_16	0.086268667456919	RAI_nonavid_LN_positive
NaPTC4	TDS_16	0.512410499219191	RAI_nonavid_LN_positive
NaPTC5	TDS_16	0.264763268030998	RAI_nonavid_LN_positive
APTC1	IODIDE_HANDLING_11	0.326690547213171	RAI_avid_LN_negative
APTC2	IODIDE_HANDLING_11	0.551304206135768	RAI_avid_LN_negative
APTC3	IODIDE_HANDLING_11	-1.50401386293682	RAI_avid_LN_negative
APTC4	IODIDE_HANDLING_11	0.282571373566613	RAI_avid_LN_negative
APTC5	IODIDE_HANDLING_11	-1.25564556193865	RAI_avid_LN_negative
NaPTC1	IODIDE_HANDLING_11	0.410480308451135	RAI_nonavid_LN_positive
NaPTC2	IODIDE_HANDLING_11	0.00203872545151046	RAI_nonavid_LN_positive
NaPTC3	IODIDE_HANDLING_11	0.355788126273299	RAI_nonavid_LN_positive
NaPTC4	IODIDE_HANDLING_11	0.443624334370323	RAI_nonavid_LN_positive
NaPTC5	IODIDE_HANDLING_11	0.387161803413648	RAI_nonavid_LN_positive
APTC1	CONDELLO_2025_SIX	0.343396596739923	RAI_avid_LN_negative
APTC2	CONDELLO_2025_SIX	-0.225551401423643	RAI_avid_LN_negative
APTC3	CONDELLO_2025_SIX	-0.603577283711601	RAI_avid_LN_negative
APTC4	CONDELLO_2025_SIX	-0.115780463387661	RAI_avid_LN_negative
APTC5	CONDELLO_2025_SIX	-0.515861476352079	RAI_avid_LN_negative
NaPTC1	CONDELLO_2025_SIX	0.742823971088696	RAI_nonavid_LN_positive
NaPTC2	CONDELLO_2025_SIX	0.0117385529995387	RAI_nonavid_LN_positive
NaPTC3	CONDELLO_2025_SIX	0.343361026355435	RAI_nonavid_LN_positive
NaPTC4	CONDELLO_2025_SIX	0.226049923762834	RAI_nonavid_LN_positive
NaPTC5	CONDELLO_2025_SIX	-0.20659944607144	RAI_nonavid_LN_positive
APTC1	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.391547125799313	RAI_avid_LN_negative
APTC2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.254509870509188	RAI_avid_LN_negative
APTC3	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.101972328472526	RAI_avid_LN_negative
APTC4	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.529771564315235	RAI_avid_LN_negative
APTC5	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.0540180683174551	RAI_avid_LN_negative
NaPTC1	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.501519015813735	RAI_nonavid_LN_positive
NaPTC2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.412196445937744	RAI_nonavid_LN_positive
NaPTC3	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-0.143930734601523	RAI_nonavid_LN_positive
NaPTC4	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.244153142222555	RAI_nonavid_LN_positive
NaPTC5	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.537824868070051	RAI_nonavid_LN_positive
APTC1	HALLMARK_HYPOXIA	0.32486100721222	RAI_avid_LN_negative
APTC2	HALLMARK_HYPOXIA	0.120809570945383	RAI_avid_LN_negative
APTC3	HALLMARK_HYPOXIA	-0.0415389544125966	RAI_avid_LN_negative
APTC4	HALLMARK_HYPOXIA	-0.354053145518338	RAI_avid_LN_negative
APTC5	HALLMARK_HYPOXIA	0.276971115674816	RAI_avid_LN_negative
NaPTC1	HALLMARK_HYPOXIA	-0.0680857293767788	RAI_nonavid_LN_positive
NaPTC2	HALLMARK_HYPOXIA	-0.217673864171326	RAI_nonavid_LN_positive
NaPTC3	HALLMARK_HYPOXIA	-0.175773643383258	RAI_nonavid_LN_positive
NaPTC4	HALLMARK_HYPOXIA	-0.147804447915706	RAI_nonavid_LN_positive
NaPTC5	HALLMARK_HYPOXIA	0.282288090945582	RAI_nonavid_LN_positive
APTC1	HALLMARK_ANGIOGENESIS	0.498561017476639	RAI_avid_LN_negative
APTC2	HALLMARK_ANGIOGENESIS	-0.277437056876393	RAI_avid_LN_negative
APTC3	HALLMARK_ANGIOGENESIS	-0.109464540476008	RAI_avid_LN_negative
APTC4	HALLMARK_ANGIOGENESIS	-0.650004241732349	RAI_avid_LN_negative
APTC5	HALLMARK_ANGIOGENESIS	0.0163914018215572	RAI_avid_LN_negative
NaPTC1	HALLMARK_ANGIOGENESIS	-0.396606032076287	RAI_nonavid_LN_positive
NaPTC2	HALLMARK_ANGIOGENESIS	0.0557859475706054	RAI_nonavid_LN_positive
NaPTC3	HALLMARK_ANGIOGENESIS	-0.0526215159319722	RAI_nonavid_LN_positive
NaPTC4	HALLMARK_ANGIOGENESIS	0.361888775617506	RAI_nonavid_LN_positive
NaPTC5	HALLMARK_ANGIOGENESIS	0.553506244606702	RAI_nonavid_LN_positive
APTC1	HALLMARK_G2M_CHECKPOINT	0.174162110408157	RAI_avid_LN_negative
APTC2	HALLMARK_G2M_CHECKPOINT	0.409471278597291	RAI_avid_LN_negative
APTC3	HALLMARK_G2M_CHECKPOINT	0.0559636022728968	RAI_avid_LN_negative
APTC4	HALLMARK_G2M_CHECKPOINT	-0.414636534312872	RAI_avid_LN_negative
APTC5	HALLMARK_G2M_CHECKPOINT	-0.0999434835801003	RAI_avid_LN_negative
NaPTC1	HALLMARK_G2M_CHECKPOINT	0.239627204062329	RAI_nonavid_LN_positive
NaPTC2	HALLMARK_G2M_CHECKPOINT	-0.317589375259269	RAI_nonavid_LN_positive
NaPTC3	HALLMARK_G2M_CHECKPOINT	-0.0814646514282207	RAI_nonavid_LN_positive
NaPTC4	HALLMARK_G2M_CHECKPOINT	-0.302734466736646	RAI_nonavid_LN_positive
NaPTC5	HALLMARK_G2M_CHECKPOINT	0.337144315976433	RAI_nonavid_LN_positive
APTC1	HALLMARK_E2F_TARGETS	0.115012295364221	RAI_avid_LN_negative
APTC2	HALLMARK_E2F_TARGETS	0.47799460482426	RAI_avid_LN_negative
APTC3	HALLMARK_E2F_TARGETS	-0.0786344917698475	RAI_avid_LN_negative
APTC4	HALLMARK_E2F_TARGETS	-0.0681700939262469	RAI_avid_LN_negative
APTC5	HALLMARK_E2F_TARGETS	-0.0713901221295401	RAI_avid_LN_negative
NaPTC1	HALLMARK_E2F_TARGETS	0.289054978800433	RAI_nonavid_LN_positive
NaPTC2	HALLMARK_E2F_TARGETS	-0.518613366847982	RAI_nonavid_LN_positive
NaPTC3	HALLMARK_E2F_TARGETS	-0.00236037915423554	RAI_nonavid_LN_positive
NaPTC4	HALLMARK_E2F_TARGETS	-0.388713419093977	RAI_nonavid_LN_positive
NaPTC5	HALLMARK_E2F_TARGETS	0.245819993932913	RAI_nonavid_LN_positive
APTC1	HALLMARK_INFLAMMATORY_RESPONSE	0.48660862169717	RAI_avid_LN_negative
APTC2	HALLMARK_INFLAMMATORY_RESPONSE	0.253224723125988	RAI_avid_LN_negative
APTC3	HALLMARK_INFLAMMATORY_RESPONSE	-0.44041188798237	RAI_avid_LN_negative
APTC4	HALLMARK_INFLAMMATORY_RESPONSE	-0.0521253778191414	RAI_avid_LN_negative
APTC5	HALLMARK_INFLAMMATORY_RESPONSE	0.0812569603898423	RAI_avid_LN_negative
NaPTC1	HALLMARK_INFLAMMATORY_RESPONSE	-0.0511503836698394	RAI_nonavid_LN_positive
NaPTC2	HALLMARK_INFLAMMATORY_RESPONSE	0.0137301639407292	RAI_nonavid_LN_positive
NaPTC3	HALLMARK_INFLAMMATORY_RESPONSE	-0.080888375358963	RAI_nonavid_LN_positive
NaPTC4	HALLMARK_INFLAMMATORY_RESPONSE	-0.318765217314817	RAI_nonavid_LN_positive
NaPTC5	HALLMARK_INFLAMMATORY_RESPONSE	0.1085207729914	RAI_nonavid_LN_positive
