study_id	citation_id	year	specimen_or_model	measurement_construct	contrast_or_endpoint	claim_present	clinical_endpoint_recoverable	genes_directions_formula_recoverable	paper_code_endpoint_consistent	patient_tissue_timepoint_auditable	directly_portable_without_refitting	primary_classification	benchmark_role	frozen_boundary
WANG_2026_RAIR_ATC	PMID:42232186	2026	public tissue cohorts plus cell lines	composite reported RAIR transcriptional axis	GSE151179 RAIR versus RAI-avid claimed in paper	RAIR_signature_claim	yes_in_paper	no_gene_list_or_score_object_recoverable	no_public_downstream_code_uses_GSE112202_TERT_contrast	partial	no	paper_code_endpoint_mismatch	literature_audit_only	Do not substitute the code-derived TERT program for the unrecoverable paper-reported RAIR module.
LUO_2026_MIR200C	PMID:41801518	2026	tumor tissue qPCR	composite clinical RAIR	12 composite ATA RAIR versus 7 non-RAIR among RAI-treated patients	single_marker_claim	yes	miR-200c-3p_direction_and_threshold_recoverable	NA_no_reusable_code	partial	no_external_validation_required	reconstructable_single_marker	passport_only	The composite RAIR label conflates uptake loss heterogeneity and progression despite uptake.
LUO_2026_AUTOPHAGY_LNCRNA	DOI:10.36922/EJMO025510526	2026	pretreatment tumor tissue sequencing plus RT-qPCR	composite treatment-response-defined RAIR	RAIR-DTC versus non-RAIR-DTC after at least two RAI courses	candidate_marker_and_network_claim	partial_definition_reported	partial_directed_lncRNA_and_mRNA_candidates_no_frozen_multigene_formula	NA_no_public_code_identified	partial	no	reconstructable_candidates_not_portable_tool	passport_only	Online-first supplementary-source capture; retain as a candidate-marker study, not a validated signature.
GSE299988_2025	PMID:40746809	2025	primary PTC tissue expression	clinical RAI refractoriness perfectly confounded by nodal status	5 RAIR_LN_positive versus 5 RAI_avid_LN_negative	RAIR_expression_claim	yes	no_portable_formula	NA	partial	no	design_level_nonidentifiability	confounded_challenge	RAI status and LN status are deterministically corresponding and cannot be independently estimated.
CONDELLO_2025	PMID:39982585	2025	surgical primary_or_metastatic tissue RNA-seq	ex_vivo_iodine_content	low versus high ex vivo iodine concentration	avidity_program_claim	yes_distinct_nonclinical_construct	partial_six_directed_genes_recoverable_full_63_and_model_coefficients_unavailable	yes_for_reported_six	partial	partial_six_gene_subset_only	reconstructable_ex_vivo_program	benchmark_biological_anchor	Ex vivo iodine content is not clinical lesion uptake or structural response.
TDP_2025	PMID:39968056	2025	TCGA-derived tissue expression	thyroid_differentiation_proxy	proposed differentiation profile	tool_proposal	no_clinical_RAI_endpoint	TDS16_recoverable_but_TDP_formula_not_finalized	NA	partial	TDS16_only	biological_proxy	benchmark_biological_anchor	Use TDS as a lineage benchmark; do not present the unfinished TDP as a clinical RAIR tool.
SLC5A5_2025	PMID:40134821	2025	tumor tissue qPCR	composite clinical RAIR	RAIR versus non-RAIR	single_marker_claim	yes	SLC5A5_direction_recoverable_no_multigene_formula	NA	partial	no_external_validation_required	reconstructable_single_marker	passport_only	Single-gene tissue association, not an externally validated portable signature.
BOUCAI_2023	PMID:36780190	2023	metastatic tissue genomics_and_transcriptomics	structural_treatment_response	RECIST_v1.1 exceptional responders versus nonresponders within metastatic disease	response_association_claim	yes	reported_programs_not_a_directly_portable_response_formula	NA	partial	no	clinical_endpoint_anchor	context_only	Provides clinical context for endpoint ontology, not external validation of this audit.
EXOSOMAL_MIRNA_2022	PMID:36556238	2022	plasma_exosomes	clinical_lesion_uptake	nonavid versus avid metastatic PTC	circulating_marker_claim	yes	miR-1296-5p_and_miR-3911_directions_and_thresholds_recoverable	NA	partial	no_cross_specimen_projection	reconstructable_biofluid_marker	passport_only	Cannot be projected as a tissue bulk-RNA signature.
LIU_2022_TWO_RNA	PMID:35634509	2022	TCGA_tissue_expression	progression_in_RAI_treated_patients	38 progression versus 254 censored RAI-treated TCGA cases	RAI_response_signature_claim	endpoint_recoverable_but_not_RAIR_or_uptake	exact_IPCEF1_miR486_formula_recoverable	yes	partial	yes_within_matching_TCGA_features	endpoint_mismatched_prognostic_score	adversarial_comparator	Predicts PFS among RAI-treated patients; it does not isolate RAI treatment response or uptake.
MIRNA_RISK_2021	PMID:34572876	2021	tissue_miRNA	post_ablation_progression	progression after RAI ablation	RAI_progression_score_claim	yes_prognostic_endpoint	exact_three_miRNA_formula_and_cutoff_recoverable	NA	partial	yes_with_matching_miRNA_data	endpoint_mismatched_prognostic_score	adversarial_comparator	The score also predicts progression without RAI and its components were not RAI-treatment specific.
IGF2_2021	PMID:34149901	2021	primary_tumor_tissue_expression	composite clinical RAIR	35 RAI-sensitive versus 28 RAIR in GSE112202	single_marker_claim	partial_mixed_recurrence_progression_and_preferential_uptake_definition	IGF2_direction_recoverable_no_formula	NA	partial	no_external_validation_required	reconstructable_single_marker	passport_only	Clinical and histologic imbalance may contribute to the association.
GSE138042_2021	PMID:33748479	2021	primary_tumor_RNAseq	RAIR_related_mixed_contrast	13 RAIR versus all other thyroid tumors	RAIR_DEG_claim	partial	DEG_table_recoverable_no_score_formula	NA	partial	no	ineligible_contrast	literature_audit_only	The comparator includes sensitive and undefined tumors, so it is not RAIR versus RAI-avid.
DIGOXIN_2021	PMID:33534128	2021	GSE112202_tissue_plus_treatment_context	redifferentiation_or_uptake_restoration	digoxin-treated versus matched controls	TDS_association_claim	no_baseline_RAIR_discrimination	TDS16_recoverable	NA	partial	no	intervention_context_not_signature	context_only	Dataset overlap with IGF2 analyses must be declared.
COLOMBO_2020	PMID:33198784	2020	primary_and_nodal_PTC_expression	clinical_uptake_and_persistence_categories	RAI_positive_remission RAI_positive_persistent and RAI_negative_persistent	RAIR_expression_claim	yes_three_groups	no_clinical_RAIR_versus_avid_formula	NA_no_portable_signature	partial	no	endpoint_mismatched_expression_contrast	literature_audit_and_primary_endpoint_frame	After purity filtering only two RAI-avid tumors remained; reported expression results mainly compare RAIR tumor with normal tissue.
CAPDEVILA_2020	PMID:31540966	2020	DECISION_trial_RAIR_tumor_RNAseq	prognosis_within_established_RAIR	prognostic expression subsets within an all-RAIR trial cohort	prognostic_subset_claim	yes_but_no_discrimination_of_RAIR_status	partial_subsets_no_RAIR_discrimination_formula	NA	partial	no	within_RAIR_prognostic_not_RAIR_classifier	context_only	Cannot test uptake loss or distinguish RAIR from RAI-sensitive disease.
SUH_2019	PMID:31888560	2019	TCGA_and_thyroid_tissue_expression	differentiation_and_glucose_metabolism_proxy	biological state comparisons	biological_program_claim	no_clinical_RAI_endpoint	program_genes_recoverable	NA	partial	yes_as_proxy_score	biological_proxy	negative_control_context	Do not label the glucose or differentiation association as clinical RAIR specificity.
VEMURAFENIB_2019	PMID:30256977	2019	paired_patient_tissue_and_uptake_assessment	redifferentiation_response	pre_post_vemurafenib uptake restoration	redifferentiation_claim	yes_interventional_context	eTDS_recoverable_no_baseline_RAIR_classifier	NA	partial	no	intervention_response_context	context_only	Small paired redifferentiation study, not a baseline diagnostic signature.
NIS_LOSS_2022	PMID:35723359	2022	TCGA_tissue_expression	SLC5A5_expression_proxy	propensity-matched high versus low NIS expression	pathway_proxy_claim	no_clinical_RAI_endpoint	pathway_results_recoverable_no_RAIR_formula	NA	partial	no	proxy_endpoint	context_only	NIS expression is not interchangeable with lesion uptake or treatment response.
QIU_LNCRNA_2016	PMID:27997908	2016	plasma_lncRNA	clinical_lung_metastasis_uptake	non-131I-avid versus 131I-avid lung metastases	circulating_marker_claim	yes	four_directions_and_individual_AUCs_recoverable_no_composite_formula	NA	partial	no_cross_specimen_projection	reconstructable_biofluid_markers	passport_only	Direct uptake construct but circulating specimen prevents tissue-score projection.
QIU_MIRNA_2015	PMID:25682061	2015	serum_miRNA	clinical_lung_metastasis_uptake	non-131I-avid versus 131I-avid lung metastases	circulating_marker_claim	yes	thirteen_directions_recoverable_only_miR106a_validated_no_formula	NA	partial	no_cross_specimen_projection	reconstructable_biofluid_candidates	passport_only	Pilot biofluid study; not a tissue transcriptomic tool.
MIAN_2008	PMID:17854396	2008	recurrent_PTC_tissue_targeted_expression	clinical_lesion_uptake	7 avid versus 13 nonavid recurrences	targeted_gene_association_claim	yes	TG_TPO_SLC26A4_GLUT1_directions_recoverable_no_score	NA	partial	no	reconstructable_targeted_panel	passport_only	Small targeted-panel study with site and sampling limitations.
